"ID" "activity" "Mean"
1 "LAYING" -0.607522391836014
1 "SITTING" -0.633405230612481
1 "STANDING" -0.647424789141436
1 "WALKING" -0.319105810200331
1 "WALKING_DOWNSTAIRS" -0.297226292824001
1 "WALKING_UPSTAIRS" -0.40699661814598
2 "LAYING" -0.639973837827844
2 "SITTING" -0.640597914078914
2 "STANDING" -0.636454993012462
2 "WALKING" -0.385708093716054
2 "WALKING_DOWNSTAIRS" -0.259677293061387
2 "WALKING_UPSTAIRS" -0.363983305102955
3 "LAYING" -0.641445804875381
3 "SITTING" -0.622780836987975
3 "STANDING" -0.626824657789309
3 "WALKING" -0.386865862874514
3 "WALKING_DOWNSTAIRS" -0.350536138554404
3 "WALKING_UPSTAIRS" -0.424274671811149
4 "LAYING" -0.630875080725603
4 "SITTING" -0.627074988752137
4 "STANDING" -0.618583772157932
4 "WALKING" -0.43055661483918
4 "WALKING_DOWNSTAIRS" -0.363790441016887
4 "WALKING_UPSTAIRS" -0.415260374462441
5 "LAYING" -0.631793505517319
5 "SITTING" -0.627014833570021
5 "STANDING" -0.618821537531601
5 "WALKING" -0.378535121986988
5 "WALKING_DOWNSTAIRS" -0.296901580091929
5 "WALKING_UPSTAIRS" -0.356353464901252
6 "LAYING" -0.619421431071453
6 "SITTING" -0.625412957710496
6 "STANDING" -0.629253160586122
6 "WALKING" -0.337513362522582
6 "WALKING_DOWNSTAIRS" -0.198922424840441
6 "WALKING_UPSTAIRS" -0.330642340129316
7 "LAYING" -0.628303269447471
7 "SITTING" -0.628833138374792
7 "STANDING" -0.63369010626409
7 "WALKING" -0.306764482858546
7 "WALKING_DOWNSTAIRS" -0.317129508211319
7 "WALKING_UPSTAIRS" -0.427408293255387
8 "LAYING" -0.627089533537997
8 "SITTING" -0.637726458982249
8 "STANDING" -0.639463722621354
8 "WALKING" -0.299755499867352
8 "WALKING_DOWNSTAIRS" -0.19351985419359
8 "WALKING_UPSTAIRS" -0.293377815632218
9 "LAYING" -0.628414047268328
9 "SITTING" -0.627530823653232
9 "STANDING" -0.633713631013694
9 "WALKING" -0.37164660578822
9 "WALKING_DOWNSTAIRS" -0.313140747277053
9 "WALKING_UPSTAIRS" -0.427075431896002
10 "LAYING" -0.633606314208568
10 "SITTING" -0.640078551091241
10 "STANDING" -0.630886542166037
10 "WALKING" -0.327086776127028
10 "WALKING_DOWNSTAIRS" -0.263162073365728
10 "WALKING_UPSTAIRS" -0.345652600356602
11 "LAYING" -0.643553031373099
11 "SITTING" -0.636081608692103
11 "STANDING" -0.648374467923916
11 "WALKING" -0.431366510871248
11 "WALKING_DOWNSTAIRS" -0.348717448293558
11 "WALKING_UPSTAIRS" -0.43527506672087
12 "LAYING" -0.63012919397725
12 "SITTING" -0.636301750626951
12 "STANDING" -0.627684013763497
12 "WALKING" -0.355560155447154
12 "WALKING_DOWNSTAIRS" -0.311490436338625
12 "WALKING_UPSTAIRS" -0.42179157558609
13 "LAYING" -0.624337936876007
13 "SITTING" -0.638179130162868
13 "STANDING" -0.639297749080434
13 "WALKING" -0.316988827925179
13 "WALKING_DOWNSTAIRS" -0.317234723087439
13 "WALKING_UPSTAIRS" -0.411582073864772
14 "LAYING" -0.628355645282404
14 "SITTING" -0.639930771868791
14 "STANDING" -0.633771114374627
14 "WALKING" -0.385501824502105
14 "WALKING_DOWNSTAIRS" -0.203378373864087
14 "WALKING_UPSTAIRS" -0.285486358859423
15 "LAYING" -0.639883147448173
15 "SITTING" -0.641496217339585
15 "STANDING" -0.640037091389994
15 "WALKING" -0.390526282476396
15 "WALKING_DOWNSTAIRS" -0.280227328116279
15 "WALKING_UPSTAIRS" -0.393720911542089
16 "LAYING" -0.635906117499551
16 "SITTING" -0.642254023210701
16 "STANDING" -0.646538416475197
16 "WALKING" -0.431362808379042
16 "WALKING_DOWNSTAIRS" -0.339080301791712
16 "WALKING_UPSTAIRS" -0.440146451770759
17 "LAYING" -0.629876420657766
17 "SITTING" -0.643707360983648
17 "STANDING" -0.644675070329398
17 "WALKING" -0.387039462708526
17 "WALKING_DOWNSTAIRS" -0.365194496888334
17 "WALKING_UPSTAIRS" -0.401431355861112
18 "LAYING" -0.645039855011435
18 "SITTING" -0.650240242162375
18 "STANDING" -0.645518459042212
18 "WALKING" -0.436306077297177
18 "WALKING_DOWNSTAIRS" -0.438663811185222
18 "WALKING_UPSTAIRS" -0.470681472754459
19 "LAYING" -0.632999218754884
19 "SITTING" -0.638986666530727
19 "STANDING" -0.640136697217531
19 "WALKING" -0.238252786596887
19 "WALKING_DOWNSTAIRS" -0.078306398113335
19 "WALKING_UPSTAIRS" -0.316821118319495
20 "LAYING" -0.644397438696908
20 "SITTING" -0.639872725383092
20 "STANDING" -0.620027732157146
20 "WALKING" -0.259518117088663
20 "WALKING_DOWNSTAIRS" -0.247169665420288
20 "WALKING_UPSTAIRS" -0.338291941451443
21 "LAYING" -0.63110876443376
21 "SITTING" -0.644724493205524
21 "STANDING" -0.638450214241584
21 "WALKING" -0.330648706245588
21 "WALKING_DOWNSTAIRS" -0.291301975673511
21 "WALKING_UPSTAIRS" -0.381967006088137
22 "LAYING" -0.632109081483277
22 "SITTING" -0.634015600138589
22 "STANDING" -0.635992094486953
22 "WALKING" -0.274200987116311
22 "WALKING_DOWNSTAIRS" -0.287664837258693
22 "WALKING_UPSTAIRS" -0.305185521541175
23 "LAYING" -0.628089473591726
23 "SITTING" -0.632843540612456
23 "STANDING" -0.637024168810267
23 "WALKING" -0.265296718829829
23 "WALKING_DOWNSTAIRS" -0.20246554081645
23 "WALKING_UPSTAIRS" -0.369581312588007
24 "LAYING" -0.634203387560794
24 "SITTING" -0.646619496620551
24 "STANDING" -0.634194893841734
24 "WALKING" -0.416975175176002
24 "WALKING_DOWNSTAIRS" -0.359085991984149
24 "WALKING_UPSTAIRS" -0.43583828688532
25 "LAYING" -0.589506698496036
25 "SITTING" -0.645307467575153
25 "STANDING" -0.645297950751058
25 "WALKING" -0.460842122215599
25 "WALKING_DOWNSTAIRS" -0.429924410531157
25 "WALKING_UPSTAIRS" -0.48551223324769
26 "LAYING" -0.640679888089531
26 "SITTING" -0.642718508921569
26 "STANDING" -0.644004547265191
26 "WALKING" -0.392008755561813
26 "WALKING_DOWNSTAIRS" -0.322473123490661
